bank_transaction_id,utr,amount,transaction_date,description,credit_debit,status
"btxn_ca737f6","UTR952514679924","1990.88","2026-07-13T00:00:00.000Z","Razorpay Settlement setl_775b37da","CREDIT","CLEARED"
"btxn_38c82bb8","UTR658632199495","6837.73","2026-07-31T00:00:00.000Z","Razorpay Settlement setl_75692424","CREDIT","CLEARED"
"btxn_74e48a3e","UTR130199405443","5383.87","2026-07-11T00:00:00.000Z","Razorpay Settlement setl_2480cb4c","CREDIT","CLEARED"
"btxn_7d384257","UTR040227247175","6683.46","2026-07-04T00:00:00.000Z","Razorpay Settlement setl_56418cc5","CREDIT","CLEARED"
"btxn_39a7a37a","UTR573670101553","4961.09","2026-07-15T00:00:00.000Z","Razorpay Settlement setl_7063fa81","CREDIT","CLEARED"
"btxn_93e3747","UTR593852169234","4775.57","2026-07-31T00:00:00.000Z","Razorpay Settlement setl_5b547945","CREDIT","CLEARED"
"btxn_651a2d1c","UTR590414427544","2840.35","2026-07-11T00:00:00.000Z","Razorpay Settlement setl_7e12f953","CREDIT","CLEARED"
"btxn_7fcb7ad9","UTR432658995025","8064.09","2026-08-01T00:00:00.000Z","Razorpay Settlement setl_3cd8eb85","CREDIT","CLEARED"
"btxn_14f03f49","UTR915380100782","4827.32","2026-07-25T00:00:00.000Z","Razorpay Settlement setl_71635bf7","CREDIT","CLEARED"
"btxn_1819b36e","UTR203383312187","7643.26","2026-08-05T00:00:00.000Z","Razorpay Settlement setl_42b66166","CREDIT","CLEARED"
"btxn_803ef3b","UTR831377012603","3808.94","2026-07-24T00:00:00.000Z","Razorpay Settlement setl_3174354e","CREDIT","CLEARED"
"btxn_41b821b5","UTR248016077168","7740.9","2026-07-24T00:00:00.000Z","Razorpay Settlement setl_45e98f92","CREDIT","CLEARED"
"btxn_392db31d","UTR816673940425","7745.78","2026-08-02T00:00:00.000Z","Razorpay Settlement setl_4930a595","CREDIT","CLEARED"
"btxn_137f92fd","UTR597757428002","6869.95","2026-08-07T00:00:00.000Z","Razorpay Settlement setl_608d58c7","CREDIT","CLEARED"
"btxn_75d6d58d","UTR289706944984","2026.03","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_3ce76609","CREDIT","CLEARED"
"btxn_267513ab","UTR309589580240","1376.32","2026-07-06T00:00:00.000Z","Razorpay Settlement setl_17b87265","CREDIT","CLEARED"
"btxn_569818f3","UTR038543749275","7691.1","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_3c8a0222","CREDIT","CLEARED"
"btxn_65a0a013","UTR261251394142","7212.67","2026-07-17T00:00:00.000Z","Razorpay Settlement setl_4f28910b","CREDIT","CLEARED"
"btxn_1e78828","UTR834392592215","4813.65","2026-07-18T00:00:00.000Z","Razorpay Settlement setl_3270a5c9","CREDIT","CLEARED"
"btxn_59254c52","UTR545416308118","6246.03","2026-07-15T00:00:00.000Z","Razorpay Settlement setl_7da1bf15","CREDIT","CLEARED"
"btxn_799498ab","UTR353326824694","6984.19","2026-07-18T00:00:00.000Z","Razorpay Settlement setl_1e123457","CREDIT","CLEARED"
"btxn_6e5032e1","UTR997708914977","3919.84","2026-07-08T00:00:00.000Z","Razorpay Settlement setl_2be390d3","CREDIT","CLEARED"
"btxn_82b38ba","UTR671647880630","8862.78","2026-07-05T00:00:00.000Z","Razorpay Settlement setl_1152be9d","CREDIT","CLEARED"
"btxn_5d9d1cb0","UTR951805695677","4147.34","2026-07-07T00:00:00.000Z","Razorpay Settlement setl_616ff67d","CREDIT","CLEARED"
"btxn_e352550","UTR115767267597","1519.28","2026-08-02T00:00:00.000Z","Razorpay Settlement setl_75347d7f","CREDIT","CLEARED"
"btxn_36dfabcc","UTR705005758723","3039.53","2026-07-04T00:00:00.000Z","Razorpay Settlement setl_731f0e1b","CREDIT","CLEARED"
"btxn_233f358e","UTR468369529348","5534.24","2026-07-25T00:00:00.000Z","Razorpay Settlement setl_1dc0e86c","CREDIT","CLEARED"
"btxn_1a9ffb80","UTR849396325075","4510.97","2026-07-19T00:00:00.000Z","Razorpay Settlement setl_69829ceb","CREDIT","CLEARED"
"btxn_6d87b76d","UTR064886832964","2282.82","2026-07-27T00:00:00.000Z","Razorpay Settlement setl_247b9a75","CREDIT","CLEARED"
"btxn_3826ca11","UTR323204596186","7219.5","2026-07-22T00:00:00.000Z","Razorpay Settlement setl_7303d2d8","CREDIT","CLEARED"
"btxn_4381208b","UTR510009548565","4581.27","2026-07-26T00:00:00.000Z","Razorpay Settlement setl_596775a9","CREDIT","CLEARED"
"btxn_486396d2","UTR143159579386","4313.33","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_234eb097","CREDIT","CLEARED"
"btxn_6cdf0b87","UTR676508857384","6175.73","2026-08-01T00:00:00.000Z","Razorpay Settlement setl_75d6c395","CREDIT","CLEARED"
"btxn_5f10bda9","UTR998111227237","983.8","2026-07-12T00:00:00.000Z","Razorpay Settlement setl_558798ee","CREDIT","CLEARED"
"btxn_754cf40","UTR169501707430","6687.36","2026-07-19T00:00:00.000Z","Razorpay Settlement setl_46be3c1a","CREDIT","CLEARED"
"btxn_30e0bbc5","UTR165978182405","6330.98","2026-07-25T00:00:00.000Z","Razorpay Settlement setl_5ae71fd4","CREDIT","CLEARED"
"btxn_3f0a2a4c","UTR165387648745","9302.16","2026-07-14T00:00:00.000Z","Razorpay Settlement setl_bbb8ca4","CREDIT","CLEARED"
"btxn_4d8da51e","UTR943041796013","4070.61","2026-07-05T00:00:00.000Z","Razorpay Settlement setl_7268179f","CREDIT","CLEARED"
"btxn_2ec6acc9","UTR758523162637","7785.81","2026-07-27T00:00:00.000Z","Razorpay Settlement setl_81d207d","CREDIT","CLEARED"
"btxn_41a5342f","UTR814211402580","7167.75","2026-07-11T00:00:00.000Z","Razorpay Settlement setl_3bf0b573","CREDIT","CLEARED"
"btxn_508141b8","UTR312179874594","4297.14","2026-07-21T00:00:00.000Z","Razorpay Settlement setl_484ece0b","CREDIT","CLEARED"
"btxn_3f652a11","UTR961644791768","4758.97","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_344d10f5","CREDIT","CLEARED"
"btxn_5ba9256e","UTR280102984671","7680.36","2026-07-26T00:00:00.000Z","Razorpay Settlement setl_66bf48e4","CREDIT","CLEARED"
"btxn_5fae197f","UTR457024600058","2524.97","2026-07-28T00:00:00.000Z","Razorpay Settlement setl_16f328ed","CREDIT","CLEARED"
"btxn_32746dba","UTR194802905139","7431.38","2026-08-01T00:00:00.000Z","Razorpay Settlement setl_2855f0d5","CREDIT","CLEARED"
"btxn_3b02d1ea","UTR389820113505","9376.37","2026-08-07T00:00:00.000Z","Razorpay Settlement setl_6df2650b","CREDIT","CLEARED"
"btxn_24b69952","UTR704180088777","1132.62","2026-07-15T00:00:00.000Z","Razorpay Settlement setl_71f2401b","CREDIT","CLEARED"
"btxn_130b36c","UTR338882447634","5859.38","2026-07-30T00:00:00.000Z","Razorpay Settlement setl_3f8541f6","CREDIT","CLEARED"
"btxn_73094714","UTR402095960553","4722.85","2026-07-29T00:00:00.000Z","Razorpay Settlement setl_6d63d359","CREDIT","CLEARED"
"btxn_3a9216f1","UTR069267098928","6673.69","2026-07-28T00:00:00.000Z","Razorpay Settlement setl_6b278c03","CREDIT","CLEARED"
"btxn_4ff07e6b","UTR726577793378","4587.7","2026-07-05T00:00:00.000Z","Razorpay Settlement setl_3d2d7879","CREDIT","CLEARED"
"btxn_3f1d7cbe","UTR717230189576","4081.35","2026-08-02T00:00:00.000Z","Razorpay Settlement setl_4e67cfa9","CREDIT","CLEARED"
"btxn_70a3e70e","UTR781996339319","1126.77","2026-07-14T00:00:00.000Z","Razorpay Settlement setl_691619e7","CREDIT","CLEARED"
"btxn_6381ce79","UTR365594873157","4591.03","2026-07-24T00:00:00.000Z","Razorpay Settlement setl_6e58fce6","CREDIT","CLEARED"
"btxn_498ff9bb","UTR956734489582","6724.47","2026-07-22T00:00:00.000Z","Razorpay Settlement setl_4a892f8d","CREDIT","CLEARED"
"btxn_a3baa97","UTR764883666735","1376.72","2026-07-25T00:00:00.000Z","Razorpay Settlement setl_3f7ca7a1","CREDIT","CLEARED"
"btxn_5287653e","UTR990303322663","6094.69","2026-07-30T00:00:00.000Z","Razorpay Settlement setl_1ecfe3a6","CREDIT","CLEARED"
"btxn_4c4c0b5a","UTR135217625177","3820.65","2026-07-07T00:00:00.000Z","Razorpay Settlement setl_2aa2108d","CREDIT","CLEARED"
"btxn_6e30ec29","UTR312815759814","7881.5","2026-07-18T00:00:00.000Z","Razorpay Settlement setl_5550d756","CREDIT","CLEARED"
"btxn_7d7db8e8","UTR444496868414","5861.33","2026-07-10T00:00:00.000Z","Razorpay Settlement setl_627aba47","CREDIT","CLEARED"
"btxn_57441eeb","UTR564759208873","3760.12","2026-07-08T00:00:00.000Z","Razorpay Settlement setl_12bd4ff9","CREDIT","CLEARED"
"btxn_30195d7b","UTR898100261390","5314.55","2026-07-16T00:00:00.000Z","Razorpay Settlement setl_611439cd","CREDIT","CLEARED"
"btxn_50ada342","UTR179379702781","4199.5","2026-07-07T00:00:00.000Z","Razorpay Settlement setl_7b576c58","CREDIT","CLEARED"
"btxn_10e20d6c","UTR578096739949","8829.59","2026-07-09T00:00:00.000Z","Razorpay Settlement setl_671961da","CREDIT","CLEARED"
"btxn_51618bcd","UTR588212838362","1772.17","2026-07-13T00:00:00.000Z","Razorpay Settlement setl_54044ad9","CREDIT","CLEARED"
"btxn_3f2c597e","UTR287447215271","9122.51","2026-07-29T00:00:00.000Z","Razorpay Settlement setl_624a68a0","CREDIT","CLEARED"
"btxn_1d4ca526","UTR305579586043","6779.15","2026-07-15T00:00:00.000Z","Razorpay Settlement setl_5a9a306a","CREDIT","CLEARED"
"btxn_663e7f9c","UTR937680943939","1546.62","2026-07-28T00:00:00.000Z","Razorpay Settlement setl_56922efd","CREDIT","CLEARED"
"btxn_6ca6299d","UTR262013389928","1704.79","2026-07-21T00:00:00.000Z","Razorpay Settlement setl_6801d424","CREDIT","CLEARED"
"btxn_50838939","UTR121842944135","9078.57","2026-07-19T00:00:00.000Z","Razorpay Settlement setl_7cb1c71c","CREDIT","CLEARED"
"btxn_3b642a68","UTR210434674562","4120.41","2026-07-10T00:00:00.000Z","Razorpay Settlement setl_7323f208","CREDIT","CLEARED"
"btxn_3483f915","UTR419994715218","9112.74","2026-07-17T00:00:00.000Z","Razorpay Settlement setl_68a1ece0","CREDIT","CLEARED"
"btxn_5443bafa","UTR301711618094","6174.75","2026-07-18T00:00:00.000Z","Razorpay Settlement setl_6c763787","CREDIT","CLEARED"
"btxn_4c4b9d46","UTR505441478734","5524.47","2026-07-31T00:00:00.000Z","Razorpay Settlement setl_26dadb0a","CREDIT","CLEARED"
"btxn_4be259c8","UTR450559393686","6235.29","2026-07-04T00:00:00.000Z","Razorpay Settlement setl_13e3b306","CREDIT","CLEARED"
