payment_id,order_id,settlement_id,utr,gross_amount,fee,tax,adjustment,settlement_amount,settlement_date,status
"pay_6408ecb9","ORD-1016","setl_20563fa6","UTR690071070507","5774","115.48","20.79","0","5637.73","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_7993b9cd","ORD-1017","setl_775b37da","UTR952514679924","2039","40.78","7.34","0","1990.88","2026-07-13T00:00:00.000Z","PROCESSED"
"pay_7ac4b7a4","ORD-1018","setl_75692424","UTR658632199495","7003","140.06","25.21","0","6837.73","2026-07-31T00:00:00.000Z","PROCESSED"
"pay_740b2873","ORD-1019","setl_2480cb4c","UTR130199405443","5514","110.28","19.85","0","5383.87","2026-07-11T00:00:00.000Z","PROCESSED"
"pay_eb256bd","ORD-1020","setl_56418cc5","UTR040227247175","6845","136.9","24.64","0","6683.46","2026-07-04T00:00:00.000Z","PROCESSED"
"pay_4ec1d1c9","ORD-1021","setl_7063fa81","UTR573670101553","5081","101.62","18.29","0","4961.09","2026-07-15T00:00:00.000Z","PROCESSED"
"pay_605e9c2c","ORD-1022","setl_5b547945","UTR593852169234","4891","97.82","17.61","0","4775.57","2026-07-31T00:00:00.000Z","PROCESSED"
"pay_2262fb63","ORD-1023","setl_7e12f953","UTR590414427544","2909","58.18","10.47","0","2840.35","2026-07-11T00:00:00.000Z","PROCESSED"
"pay_662f09c1","ORD-1024","setl_3cd8eb85","UTR432658995025","8259","165.18","29.73","0","8064.09","2026-08-01T00:00:00.000Z","PROCESSED"
"pay_7ebcfba9","ORD-1026","setl_42b66166","UTR203383312187","7828","156.56","28.18","0","7643.26","2026-07-31T00:00:00.000Z","PROCESSED"
"pay_5d5b932c","ORD-1027","setl_3174354e","UTR831377012603","3901","78.02","14.04","0","3808.94","2026-07-24T00:00:00.000Z","PROCESSED"
"pay_1388fe04","ORD-1028","setl_45e98f92","UTR248016077168","7928","158.56","28.54","0","7740.9","2026-07-24T00:00:00.000Z","PROCESSED"
"pay_2919ae1d","ORD-1029","setl_4930a595","UTR816673940425","7933","158.66","28.56","0","7745.78","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_67ca173a","ORD-1030","setl_608d58c7","UTR597757428002","7036","140.72","25.33","0","6869.95","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_4a140ef5","ORD-1031","setl_3ce76609","UTR289706944984","2075","41.5","7.47","0","2026.03","2026-07-04T00:00:00.000Z","PROCESSED"
"pay_7401c392","ORD-1032","setl_45cc6652","UTR105838733486","6437","128.74","23.17","0","6285.09","2026-07-10T00:00:00.000Z","PROCESSED"
"pay_50d3c0c1","ORD-1033","setl_17b87265","UTR309589580240","1512","30.24","5.44","0","1476.32","2026-07-06T00:00:00.000Z","PROCESSED"
"pay_3ba82c6f","ORD-1034","setl_3c8a0222","UTR038543749275","7877","157.54","28.36","0","7691.1","2026-07-09T00:00:00.000Z","PROCESSED"
"pay_37667a40","ORD-1035","setl_4f28910b","UTR261251394142","7387","147.74","26.59","0","7212.67","2026-07-12T00:00:00.000Z","PROCESSED"
"pay_1bf6f308","ORD-1036","setl_3270a5c9","UTR834392592215","4930","98.6","17.75","0","4813.65","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_1b68815","ORD-1037","setl_7da1bf15","UTR545416308118","6397","127.94","23.03","0","6246.03","2026-07-15T00:00:00.000Z","PROCESSED"
"pay_7505d439","ORD-1038","setl_1e123457","UTR353326824694","7153","143.06","25.75","0","6984.19","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_62ab5cb0","ORD-1039","setl_2be390d3","UTR997708914977","4117","82.34","14.82","0","4019.84","2026-07-08T00:00:00.000Z","PROCESSED"
"pay_5b4df515","ORD-1040","setl_1152be9d","UTR671647880630","9077","181.54","32.68","0","8862.78","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_52d93edb","ORD-1041","setl_616ff67d","UTR951805695677","4350","87","15.66","0","4247.34","2026-07-07T00:00:00.000Z","PROCESSED"
"pay_65bfb10c","ORD-1042","setl_75347d7f","UTR115767267597","1556","31.12","5.6","0","1519.28","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_5994d77a","ORD-1043","setl_731f0e1b","UTR705005758723","3113","62.26","11.21","0","3039.53","2026-07-04T00:00:00.000Z","PROCESSED"
"pay_2a92fb53","ORD-1044","setl_1dc0e86c","UTR468369529348","5668","113.36","20.4","0","5534.24","2026-07-25T00:00:00.000Z","PROCESSED"
"pay_6415a3ba","ORD-1045","setl_4f0ba5aa","UTR881249759213","5588","111.76","20.12","0","5456.12","2026-07-20T00:00:00.000Z","PROCESSED"
"pay_6bfb27d6","ORD-1046","setl_69829ceb","UTR849396325075","4620","92.4","16.63","0","4510.97","2026-07-19T00:00:00.000Z","PROCESSED"
"pay_30e52ac1","ORD-1047","setl_247b9a75","UTR064886832964","2338","46.76","8.42","0","2282.82","2026-07-27T00:00:00.000Z","PROCESSED"
"pay_44a411bf","ORD-1049","setl_596775a9","UTR510009548565","4692","93.84","16.89","0","4581.27","2026-07-21T00:00:00.000Z","PROCESSED"
"pay_55330041","ORD-1050","setl_1becb4a7","UTR981443739791","2208","44.16","7.95","0","2155.89","2026-07-09T00:00:00.000Z","PROCESSED"
"pay_3c58caff","ORD-1051","setl_234eb097","UTR143159579386","4520","90.4","16.27","0","4413.33","2026-07-09T00:00:00.000Z","PROCESSED"
"pay_3cf2f26a","ORD-1052","setl_75d6c395","UTR676508857384","6325","126.5","22.77","0","6175.73","2026-08-01T00:00:00.000Z","PROCESSED"
"pay_1966a08a","ORD-1053","setl_558798ee","UTR998111227237","1110","22.2","4","0","1083.8","2026-07-12T00:00:00.000Z","PROCESSED"
"pay_4879a062","ORD-1054","setl_4d0487a","UTR528593828308","6600","132","23.76","0","6444.24","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_6c1ee17a","ORD-1055","setl_4c02d8f0","UTR612693371102","4022","80.44","14.48","0","3927.08","2026-07-17T00:00:00.000Z","PROCESSED"
"pay_7ebe6f47","ORD-1056","setl_46be3c1a","UTR169501707430","6849","136.98","24.66","0","6687.36","2026-07-19T00:00:00.000Z","PROCESSED"
"pay_4e8ccf35","ORD-1057","setl_5ae71fd4","UTR165978182405","6484","129.68","23.34","0","6330.98","2026-07-25T00:00:00.000Z","PROCESSED"
"pay_1c934a5c","ORD-1058","setl_bbb8ca4","UTR165387648745","9527","190.54","34.3","0","9302.16","2026-07-14T00:00:00.000Z","PROCESSED"
"pay_5d8cff8e","ORD-1059","setl_7268179f","UTR943041796013","4169","83.38","15.01","0","4070.61","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_54f9291b","ORD-1060","setl_36a65e17","UTR781792894775","9473","189.46","34.1","0","9249.44","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_6fd2e196","ORD-1061","setl_81d207d","UTR758523162637","7974","159.48","28.71","0","7785.81","2026-07-27T00:00:00.000Z","PROCESSED"
"pay_4d17339a","ORD-1062","setl_3bf0b573","UTR814211402580","7341","146.82","26.43","0","7167.75","2026-07-11T00:00:00.000Z","PROCESSED"
"pay_709232cc","ORD-1063","setl_484ece0b","UTR312179874594","4401","88.02","15.84","0","4297.14","2026-07-21T00:00:00.000Z","PROCESSED"
"pay_5b77acb6","ORD-1064","setl_344d10f5","UTR961644791768","4874","97.48","17.55","0","4758.97","2026-07-09T00:00:00.000Z","PROCESSED"
"pay_58875b70","ORD-1065","setl_66bf48e4","UTR280102984671","7866","157.32","28.32","0","7680.36","2026-07-26T00:00:00.000Z","PROCESSED"
"pay_446087e6","ORD-1066","setl_16f328ed","UTR457024600058","2586","51.72","9.31","0","2524.97","2026-07-28T00:00:00.000Z","PROCESSED"
"pay_b99438","ORD-1067","setl_2855f0d5","UTR194802905139","7611","152.22","27.4","0","7431.38","2026-08-01T00:00:00.000Z","PROCESSED"
"pay_6221ab8d","ORD-1068","setl_6df2650b","UTR389820113505","9603","192.06","34.57","0","9376.37","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_7dc6405","ORD-1069","setl_71f2401b","UTR704180088777","1160","23.2","4.18","0","1132.62","2026-07-15T00:00:00.000Z","PROCESSED"
"pay_5e8ea3a6","ORD-1070","setl_3f8541f6","UTR338882447634","6001","120.02","21.6","0","5859.38","2026-07-25T00:00:00.000Z","PROCESSED"
"pay_767fc038","ORD-1071","setl_6d63d359","UTR402095960553","4837","96.74","17.41","0","4722.85","2026-07-24T00:00:00.000Z","PROCESSED"
"pay_67b7e5f4","ORD-1073","setl_3d2d7879","UTR726577793378","4801","96.02","17.28","0","4687.7","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_880520d","ORD-1074","setl_4e67cfa9","UTR717230189576","4180","83.6","15.05","0","4081.35","2026-08-02T00:00:00.000Z","PROCESSED"
"pay_1c49ab2e","ORD-1075","setl_691619e7","UTR781996339319","1154","23.08","4.15","0","1126.77","2026-07-14T00:00:00.000Z","PROCESSED"
"pay_3f33bd0b","ORD-1076","setl_6e58fce6","UTR365594873157","4702","94.04","16.93","0","4591.03","2026-07-24T00:00:00.000Z","PROCESSED"
"pay_5e727432","ORD-1077","setl_4a892f8d","UTR956734489582","6887","137.74","24.79","0","6724.47","2026-07-22T00:00:00.000Z","PROCESSED"
"pay_397ec9c3","ORD-1078","setl_3f7ca7a1","UTR764883666735","1410","28.2","5.08","0","1376.72","2026-07-25T00:00:00.000Z","PROCESSED"
"pay_6f834635","ORD-1079","setl_1ecfe3a6","UTR990303322663","6242","124.84","22.47","0","6094.69","2026-07-25T00:00:00.000Z","PROCESSED"
"pay_6d8f6e11","ORD-1080","setl_2aa2108d","UTR135217625177","3913","78.26","14.09","0","3820.65","2026-07-07T00:00:00.000Z","PROCESSED"
"pay_281390e4","ORD-1081","setl_5550d756","UTR312815759814","8072","161.44","29.06","0","7881.5","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_49a7bd93","ORD-1082","setl_627aba47","UTR444496868414","6003","120.06","21.61","0","5861.33","2026-07-05T00:00:00.000Z","PROCESSED"
"pay_75da1c9c","ORD-1083","setl_12bd4ff9","UTR564759208873","3851","77.02","13.86","0","3760.12","2026-07-08T00:00:00.000Z","PROCESSED"
"pay_626ed1f8","ORD-1084","setl_611439cd","UTR898100261390","5443","108.86","19.59","0","5314.55","2026-07-11T00:00:00.000Z","PROCESSED"
"pay_76571ee8","ORD-1085","setl_4a9e0f98","UTR917267432790","8422","168.44","30.32","0","8223.24","2026-07-24T00:00:00.000Z","PROCESSED"
"pay_3e19283a","ORD-1086","setl_7b576c58","UTR179379702781","4301","86.02","15.48","0","4199.5","2026-07-07T00:00:00.000Z","PROCESSED"
"pay_37a6d157","ORD-1087","setl_671961da","UTR578096739949","9043","180.86","32.55","0","8829.59","2026-07-04T00:00:00.000Z","PROCESSED"
"pay_113fab3a","ORD-1089","setl_624a68a0","UTR287447215271","9343","186.86","33.63","0","9122.51","2026-07-29T00:00:00.000Z","PROCESSED"
"pay_7a18fa83","ORD-1090","setl_5a9a306a","UTR305579586043","6943","138.86","24.99","0","6779.15","2026-07-15T00:00:00.000Z","PROCESSED"
"pay_60ae61db","ORD-1091","setl_7c96045","UTR247494706836","2596","51.92","9.35","0","2534.73","2026-07-07T00:00:00.000Z","PROCESSED"
"pay_11bdf155","ORD-1092","setl_56922efd","UTR937680943939","1584","31.68","5.7","0","1546.62","2026-07-28T00:00:00.000Z","PROCESSED"
"pay_62e6ba73","ORD-1093","setl_6801d424","UTR262013389928","1746","34.92","6.29","0","1704.79","2026-07-21T00:00:00.000Z","PROCESSED"
"pay_6aee1265","ORD-1094","setl_7cb1c71c","UTR121842944135","9298","185.96","33.47","0","9078.57","2026-07-19T00:00:00.000Z","PROCESSED"
"pay_14d5ff4b","ORD-1095","setl_7323f208","UTR210434674562","4220","84.4","15.19","0","4120.41","2026-07-10T00:00:00.000Z","PROCESSED"
"pay_5ec2c76a","ORD-1096","setl_68a1ece0","UTR419994715218","9333","186.66","33.6","0","9112.74","2026-07-17T00:00:00.000Z","PROCESSED"
"pay_39834255","ORD-1097","setl_6c763787","UTR301711618094","6324","126.48","22.77","0","6174.75","2026-07-18T00:00:00.000Z","PROCESSED"
"pay_d40548b","ORD-1098","setl_26dadb0a","UTR505441478734","5658","113.16","20.37","0","5524.47","2026-07-31T00:00:00.000Z","PROCESSED"
"pay_66d6c4c6","ORD-1099","setl_13e3b306","UTR450559393686","6386","127.72","22.99","0","6235.29","2026-07-04T00:00:00.000Z","PROCESSED"
